Year,AverageTemperature,AverageTemperatureUncertainty,UpperBound,LowerBound
1796,10.280041184041183,3.1889407979407984,13.468981981981981,7.0911003861003845
1797,10.550860313315926,3.504545691906005,14.055406005221931,7.0463146214099215
1798,10.791231578947368,3.065271052631579,13.856502631578948,7.725960526315789
1799,9.863822164948454,2.771414948453608,12.635237113402063,7.092407216494846
1800,10.804132051282052,2.712589743589744,13.516721794871795,8.091542307692308
1801,11.027885416666665,2.4126901041666664,13.440575520833331,8.6151953125
1802,10.979875324675326,2.5530662337662338,13.53294155844156,8.426809090909092
1803,10.936170370370371,2.6301444444444444,13.566314814814817,8.306025925925926
1804,11.715498203592816,3.0506443113772455,14.766142514970062,8.66485389221557
1805,9.699310299869621,2.436348109517601,12.135658409387222,7.26296219035202
1806,10.8096328125,2.4712578124999998,13.280890625,8.338375000000001
1807,10.411802371541501,2.6707444005270093,13.082546772068511,7.741057971014492
1808,8.955127688172043,2.7006586021505377,11.655786290322581,6.254469086021505
1809,9.432465601965601,3.252379606879607,12.684845208845209,6.180085995085994
1810,9.389049751243782,3.5308432835820898,12.919893034825872,5.858206467661692
1811,10.157996389891697,3.563246690734055,13.72124308062575,6.594749699157641
1812,8.402495412844036,2.984079128440367,11.386574541284403,5.418416284403669
1813,9.956951807228915,3.1388466593647313,13.095798466593646,6.818105147864184
1814,9.360688282138794,3.3262673492605237,12.686955631399318,6.03442093287827
1815,9.67844994375703,3.1164443194600677,12.794894263217099,6.562005624296963
1816,9.508635179153094,3.3487850162866453,12.85742019543974,6.159850162866449
1817,10.228215885947048,2.870484725050917,13.098700610997964,7.357731160896131
1818,10.578874739039666,3.3980052192066807,13.976879958246347,7.180869519832985
1819,11.0028406374502,2.676054780876494,13.678895418326693,8.326785856573707
1820,10.45514674441205,2.6465481049562682,13.101694849368318,7.808598639455781
1821,11.076848256361922,2.5088520263901977,13.58570028275212,8.567996229971724
1822,11.37343282149712,2.209901151631478,13.583333973128598,9.163531669865643
1823,10.52201809954751,2.331918552036199,12.853936651583709,8.190099547511313
1824,14.400542545454545,2.3271723636363637,16.72771490909091,12.07337018181818
1825,15.753609217171718,2.1122209595959593,17.865830176767677,13.641388257575759
1826,14.497344460227275,2.1793011363636365,16.676645596590912,12.318043323863638
1827,14.845123955431756,2.1770048746518107,17.022128830083567,12.668119080779945
1828,14.639854456824514,2.277241643454039,16.917096100278552,12.362612813370475
1829,13.561706676136366,2.5122542613636365,16.0739609375,11.049452414772729
1830,11.284793439716312,2.4171427304964537,13.701936170212765,8.867650709219859
1831,11.146712897526502,3.025239399293286,14.171952296819788,8.121473498233216
1832,10.553762152777777,2.635150173611111,13.188912326388888,7.918611979166666
1833,11.032854166666667,2.218801666666667,13.251655833333334,8.814052499999999
1834,11.491121464226289,2.277626455906822,13.76874792013311,9.213495008319468
1835,11.384895931142411,1.9888881064162753,13.373784037558687,9.396007824726135
1836,11.203054794520549,2.1729580983078165,13.376012892828365,9.030096696212732
1837,11.15652111553785,2.20083984063745,13.357360956175299,8.9556812749004
1838,11.286937788018435,2.34668509984639,13.633622887864824,8.940252688172045
1839,12.245916972814106,1.9225598824393826,14.168476855253488,10.323357090374724
1840,12.499997218358832,1.9576293463143253,14.457626564673157,10.542367872044506
1841,12.842211643835617,1.8539493150684931,14.696160958904109,10.988262328767124
1842,12.758690393918453,1.7701223220456117,14.528812715964065,10.988568071872841
1843,13.527123610202748,1.6865716154349248,15.213695225637673,11.840551994767823
1844,12.568981632653063,1.5735000000000001,14.142481632653062,10.995481632653064
1845,14.269233015494637,1.638532777115614,15.90776579261025,12.630700238379022
